# DATE = date model was fitted
# ID = model number
# PART = party
# PER = fitted voting intention percentage as of `DATE`, from Stan's alphas
# SE = standard error for `PER`
DATE	ID	PART	PER	SE
"2015-03-23"	7	"CON"	36.57	0.2712
"2015-03-23"	7	"LAB"	37.12	0.2752
"2015-03-23"	7	"LD"	7.47	0.05569
"2015-03-23"	7	"UKIP"	11.14	0.08583
"2015-03-23"	7	"GREEN"	2.564	0.02616
"2015-03-23"	7	"OTHER"	5.13	0.03793
"2015-03-23"	6	"CON"	36.55	0.2761
"2015-03-23"	6	"LAB"	36.92	0.279
"2015-03-23"	6	"LD"	7.452	0.05724
"2015-03-23"	6	"UKIP"	10.98	0.0904
"2015-03-23"	6	"GREEN"	2.928	0.02624
"2015-03-23"	6	"OTHER"	5.17	0.03997
"2015-03-23"	5	"CON"	35.81	0.2651
"2015-03-23"	5	"LAB"	36.25	0.2673
"2015-03-23"	5	"LD"	7.372	0.05479
"2015-03-23"	5	"UKIP"	11.46	0.08871
"2015-03-23"	5	"GREEN"	3.923	0.03061
"2015-03-23"	5	"OTHER"	5.194	0.03906
"2015-03-23"	4	"CON"	35.06	0.2746
"2015-03-23"	4	"LAB"	36.05	0.2823
"2015-03-23"	4	"LD"	7.3	0.05739
"2015-03-23"	4	"UKIP"	12.11	0.09923
"2015-03-23"	4	"GREEN"	4.189	0.03429
"2015-03-23"	4	"OTHER"	5.295	0.04168
"2015-03-23"	3	"CON"	35	0.2778
"2015-03-23"	3	"LAB"	35.96	0.288
"2015-03-23"	3	"LD"	7.349	0.05913
"2015-03-23"	3	"UKIP"	12.12	0.09813
"2015-03-23"	3	"GREEN"	4.225	0.03452
"2015-03-23"	3	"OTHER"	5.351	0.04286
"2015-03-23"	2	"CON"	32.03	0.1007
"2015-03-23"	2	"LAB"	33.12	0.102
"2015-03-23"	2	"LD"	8.031	0.0248
"2015-03-23"	2	"UKIP"	15.14	0.04563
"2015-03-23"	2	"GREEN"	5.728	0.01777
"2015-03-23"	2	"OTHER"	5.949	0.01838
"2015-03-24"	7	"CON"	37.23	0.2711
"2015-03-24"	7	"LAB"	37.73	0.2734
"2015-03-24"	7	"LD"	7.675	0.055
"2015-03-24"	7	"UKIP"	9.624	0.07469
"2015-03-24"	7	"GREEN"	2.452	0.02444
